name,symbol,current_price_usd,market_cap,total_volume,price_change_24h,timestamputc
Bitcoin,btc,84057.0,1685987645973,63003070526,-6.348,2026-01-29_20-22-34
Ethereum,eth,2804.49,340728198279,30300302233,-7.0237,2026-01-29_20-22-34
Tether,usdt,0.998505,186071655086,102125255045,-0.02661,2026-01-29_20-22-34
BNB,bnb,862.7,118101001765,2440960733,-4.50304,2026-01-29_20-22-34
XRP,xrp,1.8,110125305425,4173637805,-5.93394,2026-01-29_20-22-34
Bitcoin,btc,84057.0,1685987645973,63003070526,-6.348,2026-01-29_20-22-41
Ethereum,eth,2804.49,340728198279,30300302233,-7.0237,2026-01-29_20-22-41
Tether,usdt,0.998505,186071655086,102125255045,-0.02661,2026-01-29_20-22-41
BNB,bnb,862.7,118101001765,2440960733,-4.50304,2026-01-29_20-22-41
XRP,xrp,1.8,110125305425,4173637805,-5.93394,2026-01-29_20-22-41
Bitcoin,btc,84057.0,1685987645973,63003070526,-6.348,2026-01-29_20-23-20
Ethereum,eth,2804.49,340728198279,30300302233,-7.0237,2026-01-29_20-23-20
Tether,usdt,0.998505,186071655086,102125255045,-0.02661,2026-01-29_20-23-20
BNB,bnb,862.7,118101001765,2440960733,-4.50304,2026-01-29_20-23-20
XRP,xrp,1.8,110125305425,4173637805,-5.93394,2026-01-29_20-23-20
Bitcoin,btc,84057.0,1685987645973,63003070526,-6.348,2026-01-29_20-23-33
Ethereum,eth,2804.49,340728198279,30300302233,-7.0237,2026-01-29_20-23-33
Tether,usdt,0.998505,186071655086,102125255045,-0.02661,2026-01-29_20-23-33
BNB,bnb,862.7,118101001765,2440960733,-4.50304,2026-01-29_20-23-33
XRP,xrp,1.8,110125305425,4173637805,-5.93394,2026-01-29_20-23-33
Bitcoin,btc,83908.0,1685987645973,57611381497,-6.51421,2026-01-29_20-24-08
Ethereum,eth,2804.39,340728198279,32079585484,-7.02699,2026-01-29_20-24-08
Tether,usdt,0.998446,186071655086,102315255155,-0.0325,2026-01-29_20-24-08
BNB,bnb,862.95,118101001765,2381298426,-4.47585,2026-01-29_20-24-08
XRP,xrp,1.8,110125305425,4173515563,-5.9388,2026-01-29_20-24-08
Bitcoin,btc,83908.0,1685987645973,57611381497,-6.51421,2026-01-29_20-24-14
Ethereum,eth,2804.39,340728198279,32079585484,-7.02699,2026-01-29_20-24-14
Tether,usdt,0.998446,186071655086,102315255155,-0.0325,2026-01-29_20-24-14
BNB,bnb,862.95,118101001765,2381298426,-4.47585,2026-01-29_20-24-14
XRP,xrp,1.8,110125305425,4173515563,-5.9388,2026-01-29_20-24-14
Bitcoin,btc,83908.0,1685987645973,57611381497,-6.51421,2026-01-29_20-24-21
Ethereum,eth,2804.39,340728198279,32079585484,-7.02699,2026-01-29_20-24-21
Tether,usdt,0.998446,186071655086,102315255155,-0.0325,2026-01-29_20-24-21
BNB,bnb,862.95,118101001765,2381298426,-4.47585,2026-01-29_20-24-21
XRP,xrp,1.8,110125305425,4173515563,-5.9388,2026-01-29_20-24-21
Bitcoin,btc,83908.0,1685987645973,57611381497,-6.51421,2026-01-29_20-24-29
Ethereum,eth,2804.39,340728198279,32079585484,-7.02699,2026-01-29_20-24-29
Tether,usdt,0.998446,186071655086,102315255155,-0.0325,2026-01-29_20-24-29
BNB,bnb,862.95,118101001765,2381298426,-4.47585,2026-01-29_20-24-29
XRP,xrp,1.8,110125305425,4173515563,-5.9388,2026-01-29_20-24-29
Bitcoin,btc,83769.0,1672655108160,60913751248,-6.54864,2026-01-29_20-31-00
Ethereum,eth,2799.89,338012506792,32988966800,-7.00616,2026-01-29_20-31-00
Tether,usdt,0.998504,186061418552,103305766232,-0.02403,2026-01-29_20-31-00
BNB,bnb,861.62,117468838381,2458369675,-4.39748,2026-01-29_20-31-00
XRP,xrp,1.8,109389344235,4152503118,-6.1422,2026-01-29_20-31-00
Bitcoin,btc,83888.0,1676283734199,64820890729,-6.28053,2026-01-29_20-45-36
Ethereum,eth,2800.54,338050135236,30992749308,-6.83919,2026-01-29_20-45-36
Tether,usdt,0.998576,186056432965,105295104169,-0.01682,2026-01-29_20-45-36
BNB,bnb,863.17,117669150716,2203526455,-4.15969,2026-01-29_20-45-36
XRP,xrp,1.8,109406868583,4222364771,-5.96746,2026-01-29_20-45-36
